name,brand,model,memory size,memory type,price
INTEL ARC A750 (INTEL-21P02J00BA-99AM3D) 8GB GDDR6 256BIT Graphics Card,Intel,ARC A750,8GB,GDDR6,15700.0
ZOTAC RTX4070TI TRINITY OC 12GB GDDR6X 192-bit Graphics Card,Zotac,RTX 4070 Ti,12GB,GDDR6X,58450.0
ZOTAC RTX3060 TWIN EDGE 12GB GDDR6 192-bit Graphics Card,Zotac,RTX 3060,12GB,GDDR6,20500.0
ZOTAC RTX3050 TWIN EDGE OC 8GB GDDR6 128-bit Graphics Card,Zotac,RTX 3050,8GB,GDDR6,16500.0
ZOTAC GTX1650 AMP CORE 4GB GDDR6 128-bit Graphics Card,Zotac,GTX 1650,4GB,GDDR6,9650.0
PC RX6600XT FIGHTER 8GB GDRR6 128-bit Graphics Card,PowerColor,RX 6600XT,8GB,GDDR6,15000.0
PALIT GTX1650 STORMX 4G GDDR5 128-bit Graphics Card,Palit,GTX 1650,4G,GDDR5,10500.0
PALIT GTX1050TI STORMX 4GB GDDR5 128-bit Graphics Card,Palit,GTX 1050 Ti,4GB,GDDR5,9500.0
MSI RTX4080 VENTUS 3X OC 16GB GDDR6X 256-bit Graphics Card,MSI,RTX 4080,16GB,GDDR6X,85700.0
MSI RTX4080 GAMING X TRIO 16GB GDDR6X 256-bit Graphics Card,MSI,RTX 4080,16GB,GDDR6X,88700.0
MSI RTX4070 VENTUS 2X OC 12GB GDDR6X 192-bit Graphics Card,MSI,RTX 4070,12GB,GDDR6X,39700.0
MSI RTX4070 GAMING X TRIO 12GB GDDR6X 192-bit Graphics Card,MSI,RTX 4070,12GB,GDDR6X,44700.0
INNO3D RTX4070 TWIN X2 OC WHT 12GB GDDR6X 192-bit Graphics Card,Inno3D,RTX 4070,12GB,GDDR6X,42100.0
INNO3D RTX3050 TWIN X2 NON-OC 8GB GDDR6 128-bit Graphics Card,Inno3D,RTX 3050,8GB,GDDR6,15100.0
GIGABYTE RTX4090 WINDFORCE 24GB GDDR6X 384-bit Graphics Card,Gigabyte,RTX 4090,24GB,GDDR6X,127500.0
GIGABYTE RTX4070 GAMING OC 12GB GDDR6X 192-bit Graphics Card,Gigabyte,RTX 4070,12GB,GDDR6X,44950.0
GIGABYTE RTX4070 EAGLE OC 12GB GDDR6X 192-bit Graphics Card,Gigabyte,RTX 4070,12GB,GDDR6X,43900.0
GIGABYTE GTX1660 SUPER NON-OC 6GB GDDR6 192-bit Graphics Card,Gigabyte,GTX 1660,6GB,GDDR6,13700.0
GIGABYTE GTX1650 OC 4GB GDDR6 128-bit Graphics Card,Gigabyte,GTX 1650,4GB,GDDR6,10800.0
GIGABYTE GTX1650 NON-OC 4GB GDDR5 128-bit Graphics Card,Gigabyte,GTX 1650,4GB,GDDR5,9950.0
GALAX RTX3060TI 1-CLICK OC 8GB GDDR6 256-bit (LHR) Graphics Card,Galax,RTX 3060 Ti,8GB,GDDR6,24400.0
COLORFUL RTX3060TI NEW BATTLEAX DUO V2 (LHR) 8G GDDR6 256-bit Graphics Card,COLORFUL,RTX 3060 Ti,8GB,GDDR6,23350.0
COLORFUL RTX3050 NEW BATTLE AX DUO 8GB GDDR6 128-bit Graphics Card,COLORFUL,RTX 3050,8GB,GDDR6,17250.0
